model_id,test_accuracy,quality_class
model_0246,92.67,vidējs
model_0247,91.29,vidējs
model_0250,96.58,labs
model_0248,94.03,vidējs
model_0249,95.69,labs
model_0251,95.46,labs
model_0252,73.32,slikts
model_0253,93.15,vidējs
model_0254,89.13,vidējs
model_0255,11.35,slikts
model_0256,11.35,slikts
model_0257,89.16,vidējs
model_0258,90.8,vidējs
model_0259,96.41,labs
model_0260,91.31,vidējs
model_0261,10.28,slikts
model_0262,10.28,slikts
model_0263,94.76,vidējs
model_0264,91.66,vidējs
model_0265,98.41,labs
model_0266,91.26,vidējs
model_0267,97.44,labs
model_0268,92.98,vidējs
model_0269,97.86,labs
model_0270,31.05,slikts
model_0271,11.35,slikts
model_0272,94.38,vidējs
model_0273,87.69,vidējs
model_0274,97.4,labs
model_0275,10.28,slikts
model_0276,11.35,slikts
model_0277,95.17,labs
model_0278,94.15,vidējs
model_0279,91.72,vidējs
model_0280,63.22,slikts
model_0281,96.37,labs
model_0282,11.35,slikts
model_0283,88.43,vidējs
model_0284,94.4,vidējs
model_0285,84.38,vidējs
model_0286,60.89,slikts
model_0287,94.99,vidējs
model_0288,97.0,labs
model_0289,93.46,vidējs
model_0290,98.03,labs
model_0291,11.35,slikts
model_0292,10.09,slikts
model_0293,45.54,slikts
model_0294,97.52,labs
model_0295,88.65,vidējs
model_0296,14.89,slikts
model_0297,94.71,vidējs
model_0298,97.61,labs
model_0299,11.35,slikts
model_0300,98.15,labs
model_0301,9.82,slikts
model_0302,56.98,slikts
model_0303,98.18,labs
model_0304,9.82,slikts
model_0305,77.54,slikts
model_0306,80.51,vidējs
model_0307,94.56,vidējs
model_0308,19.26,slikts
model_0309,97.98,labs
model_0310,98.0,labs
model_0311,88.07,vidējs
model_0312,95.32,labs
model_0313,90.04,vidējs
model_0314,11.35,slikts
model_0315,97.18,labs
model_0316,97.63,labs
model_0317,92.96,vidējs
model_0318,96.54,labs
model_0319,36.78,slikts
model_0320,91.36,vidējs
model_0321,11.36,slikts
model_0322,10.28,slikts
model_0323,97.87,labs
model_0324,79.42,slikts
model_0325,87.84,vidējs
model_0326,95.75,labs
model_0327,93.38,vidējs
model_0328,74.79,slikts
model_0329,93.05,vidējs
model_0330,88.54,vidējs
model_0331,71.83,slikts
model_0332,94.33,vidējs
model_0333,76.5,slikts
model_0334,19.83,slikts
model_0335,82.87,vidējs
model_0336,95.52,labs
model_0337,11.35,slikts
model_0338,97.85,labs
model_0339,97.7,labs
model_0340,96.7,labs
model_0341,91.92,vidējs
model_0342,11.35,slikts
model_0343,92.14,vidējs
model_0344,96.98,labs
model_0345,10.09,slikts
model_0346,95.28,labs
model_0347,96.06,labs
model_0348,93.57,vidējs
model_0349,98.02,labs
model_0350,90.85,vidējs
model_0351,96.27,labs
model_0352,11.35,slikts
model_0353,87.9,vidējs
model_0354,97.3,labs
model_0355,79.92,slikts
model_0356,8.9,slikts
model_0357,93.3,vidējs
model_0358,97.97,labs
model_0359,97.82,labs
model_0360,74.36,slikts
model_0361,90.05,vidējs
model_0362,65.48,slikts
model_0363,85.14,vidējs
model_0364,93.72,vidējs
